iter	Logloss
0	0.6801317494
1	0.6698186368
2	0.6615648258
3	0.6530265289
4	0.642768819
5	0.6337280136
6	0.6264319717
7	0.6173064493
8	0.610291223
9	0.6056796186
10	0.5992956819
11	0.5942482432
12	0.5898029749
13	0.5872652678
14	0.5836828739
15	0.5827968093
16	0.578937479
17	0.5767296198
18	0.5735819103
19	0.5704480461
20	0.5687900869
21	0.5655092294
22	0.5624320889
23	0.5612508388
24	0.5593115437
25	0.5551890161
26	0.5530369772
27	0.5516983927
28	0.5495548769
29	0.5486610086
30	0.5464677657
31	0.5452013491
32	0.5426693441
33	0.5405491777
34	0.5369589429
35	0.5350880517
36	0.53354743
37	0.5324794212
38	0.5308184668
39	0.5280383714
40	0.5265941526
41	0.5255336433
42	0.5231498764
43	0.5219054933
44	0.5201200465
45	0.5188229929
46	0.5171394297
47	0.5159657911
48	0.5146440434
49	0.5134609872
50	0.5133003944
51	0.5119288959
52	0.5101683943
53	0.5088913381
54	0.5076785771
55	0.5068460796
56	0.5056969364
57	0.5042193833
58	0.5023217647
59	0.5009875774
60	0.49947134
61	0.4983121381
62	0.4972956452
63	0.4968983648
64	0.4949399255
65	0.4943897405
66	0.4931232081
67	0.4923481127
68	0.4910271911
69	0.4896466863
70	0.488672987
71	0.4877413271
72	0.4867499816
73	0.4864078027
74	0.4856620481
75	0.4849644533
76	0.4843579596
77	0.4843467867
78	0.4828305346
79	0.4823885451
80	0.4816439756
81	0.480750079
82	0.4799830301
83	0.4792146902
84	0.4781853691
85	0.4775226693
86	0.4771296717
87	0.4761509523
88	0.4754897295
89	0.4740949125
90	0.4736516136
91	0.473521673
92	0.4725319332
93	0.472149025
94	0.4708932162
95	0.4700974567
96	0.4696216683
97	0.4692839871
98	0.4690768389
99	0.4688943406
100	0.4683817034
101	0.4677414865
102	0.4669474105
103	0.4656627022
104	0.4652961497
105	0.464715217
106	0.4639351514
107	0.463408597
108	0.4626288263
109	0.4616593126
110	0.4606970533
111	0.4601835146
112	0.4598866248
113	0.4592164378
114	0.4585283736
115	0.4582433906
116	0.4580475044
117	0.456608844
118	0.4560585818
119	0.455668162
120	0.4551822913
121	0.4548652332
122	0.4542430269
123	0.4536598677
124	0.4527206255
125	0.4518371711
126	0.4514942452
127	0.4512333036
128	0.4502735169
129	0.4492063473
130	0.4479414441
131	0.4475755232
132	0.4469439563
133	0.4460625569
134	0.4439644574
135	0.4435424959
136	0.442701468
137	0.4414791928
138	0.4410881437
139	0.4409732331
140	0.439930199
141	0.439119136
142	0.4387790277
143	0.4376259806
144	0.4370000913
145	0.436012312
146	0.4355656797
147	0.4342875203
148	0.4338998371
149	0.4330675712
150	0.4315375287
151	0.4311516478
152	0.4303642228
153	0.4296108904
154	0.4277499918
155	0.4275431157
156	0.4266991339
157	0.4260182521
158	0.4252982169
159	0.4248011903
160	0.4238549422
161	0.4234912005
162	0.4217761975
163	0.4208340624
164	0.4196707071
165	0.4192919153
166	0.4180891942
167	0.4172826622
168	0.4156349444
169	0.4143966707
170	0.4132114176
171	0.411754502
172	0.4113093584
173	0.4103551214
174	0.4095023403
175	0.408015319
176	0.4076084372
177	0.4059989229
178	0.4048119211
179	0.4036616765
180	0.4024441909
181	0.4015263146
182	0.4006243087
183	0.3988294563
184	0.3977806905
185	0.3971298326
186	0.3955925161
187	0.3945915556
188	0.3930521708
189	0.3918985573
190	0.3904983956
191	0.3894139215
192	0.3887637752
193	0.3872274386
194	0.3861851799
195	0.3848050971
196	0.3841561536
197	0.3829495015
198	0.3816963704
199	0.3812780383
200	0.3796030447
201	0.3788639904
202	0.3781470579
203	0.3772012258
204	0.376332519
205	0.3755314338
206	0.3735386889
207	0.3723586167
208	0.3717401089
209	0.3705919246
210	0.36966193
211	0.3687022365
212	0.367739697
213	0.3660362181
214	0.3646330206
215	0.3642746998
216	0.3632813358
217	0.3628053315
218	0.3622156495
219	0.3615783365
220	0.3603877212
221	0.3596272401
222	0.359205644
223	0.3581841554
224	0.3574252936
225	0.3567191493
226	0.35621268
227	0.355466246
228	0.3540667392
229	0.3534133654
230	0.3520214359
231	0.3511197117
232	0.3499156133
233	0.3490827987
234	0.347827937
235	0.346493125
236	0.3461918445
237	0.3451872331
238	0.3441233638
239	0.3435878464
240	0.3429842235
241	0.3412827022
242	0.3406838187
243	0.3392661361
244	0.3387290904
245	0.33787991
246	0.3366930925
247	0.3354407031
248	0.3341797312
249	0.3331973549
250	0.3322224053
251	0.3313028485
252	0.3309047558
253	0.3302235967
254	0.3291418047
255	0.328628299
256	0.3270977725
257	0.3262436006
258	0.3248120757
259	0.3235305191
260	0.3229114858
261	0.3222051839
262	0.3220843785
263	0.3210470981
264	0.3203398099
265	0.3195768129
266	0.3189942619
267	0.3188827551
268	0.3185203533
269	0.3184658924
270	0.3180330987
271	0.3165605333
272	0.3159933849
273	0.314881417
274	0.3141764478
275	0.3136663039
276	0.3132688402
277	0.3124552497
278	0.3113351222
279	0.3105443089
280	0.3100561006
281	0.3088771947
282	0.3085080717
283	0.3083250585
284	0.3077637307
