iter	Logloss
285	0.3067891236
286	0.3063346192
287	0.3053646468
288	0.3049108351
289	0.3043182704
290	0.3032486648
291	0.3031618446
292	0.3026160364
293	0.3020696464
294	0.3011394652
295	0.3002837769
296	0.3000078902
297	0.2990546094
298	0.2982205511
299	0.2975824388
300	0.2968301128
301	0.2961937673
302	0.2953405985
303	0.2944204146
304	0.2936438892
305	0.2925765745
306	0.2917070886
307	0.2913202265
308	0.2909478439
309	0.2905342911
310	0.2902696364
311	0.2893057165
312	0.2891468777
313	0.2889278773
314	0.2882231113
315	0.287559956
316	0.2875013
317	0.2857672491
318	0.285040254
319	0.2849521446
320	0.2846941091
321	0.2841316941
322	0.283478763
323	0.2829245411
324	0.2820702628
325	0.2816570276
326	0.2811693663
327	0.2806642224
328	0.2798989029
329	0.2788765817
330	0.2785055889
331	0.2780266729
332	0.2771293185
333	0.2763465352
334	0.2759766313
335	0.2756321587
336	0.2754442642
337	0.274530946
338	0.2742251852
339	0.2731524076
340	0.272877696
341	0.2722301624
342	0.2715599047
343	0.2710614215
344	0.2702259698
345	0.2698412095
346	0.2696729088
347	0.269220798
348	0.2687552479
349	0.268269001
350	0.2678835762
351	0.2677393888
352	0.2675216867
353	0.2668901239
354	0.2660037105
355	0.2656125772
356	0.2649282769
357	0.264568302
358	0.2641718546
359	0.2637994396
360	0.263160876
361	0.2627052515
362	0.2626537196
363	0.2623570574
364	0.2621382192
365	0.2614555724
366	0.2613385039
367	0.2606408061
368	0.2599543174
369	0.2597013641
370	0.2594123307
371	0.2587943032
372	0.2585939042
373	0.2580994178
374	0.2575125097
375	0.2566350727
376	0.2562764294
377	0.2559886504
378	0.2551124662
379	0.2549236104
380	0.2542509004
381	0.2537430267
382	0.2531335401
383	0.2529240965
384	0.2524379642
385	0.2519389265
386	0.2515943692
387	0.2509948887
388	0.2505580244
389	0.2500386171
390	0.2499105472
391	0.2497352835
392	0.2491213002
393	0.2485373363
394	0.2480684468
395	0.2478863375
396	0.247280572
397	0.2468344301
398	0.2462799498
399	0.2459228406
