Feature,Importance
crisis_streak,0.144407984158155
is_asal,0.14404713586385895
r3q_mean,0.134579890501823
rfq_mean,0.12039548785127367
prev_crisis,0.11978953730712949
r1q_mean,0.10479274482858716
drought_streak,0.0721897243829987
staple_price_kes,0.044846485523689604
staple_price_usd,0.03912559519926085
price_mom_change,0.03234901560412194
season_short_rains,0.01695882694344082
season_long_rains,0.016765294637272412
has_price_data,0.009752277198388382
