FPR,TPR
0.0,0.0
0.0,0.00980392156862745
0.0024096385542168677,0.00980392156862745
0.0024096385542168677,0.029411764705882353
0.0024096385542168677,0.08823529411764706
0.0024096385542168677,0.10784313725490197
0.004819277108433735,0.10784313725490197
0.00963855421686747,0.11764705882352941
0.00963855421686747,0.13725490196078433
0.00963855421686747,0.1568627450980392
0.012048192771084338,0.16666666666666666
0.014457831325301205,0.16666666666666666
0.014457831325301205,0.20588235294117646
0.016867469879518072,0.20588235294117646
0.016867469879518072,0.24509803921568626
0.016867469879518072,0.2647058823529412
0.016867469879518072,0.30392156862745096
0.01927710843373494,0.3137254901960784
0.01927710843373494,0.35294117647058826
0.021686746987951807,0.35294117647058826
0.024096385542168676,0.3627450980392157
0.024096385542168676,0.38235294117647056
0.02650602409638554,0.39215686274509803
0.02650602409638554,0.4019607843137255
0.02650602409638554,0.4215686274509804
0.02891566265060241,0.4215686274509804
0.02891566265060241,0.4411764705882353
0.02891566265060241,0.46078431372549017
0.03132530120481928,0.47058823529411764
0.03132530120481928,0.5784313725490197
0.03614457831325301,0.5882352941176471
0.03614457831325301,0.5980392156862745
0.03614457831325301,0.6176470588235294
0.03614457831325301,0.6274509803921569
0.03855421686746988,0.6274509803921569
0.03855421686746988,0.6470588235294118
0.04096385542168675,0.6666666666666666
0.043373493975903614,0.6764705882352942
0.043373493975903614,0.7156862745098039
0.04819277108433735,0.7352941176470589
0.04819277108433735,0.7450980392156863
0.05060240963855422,0.7647058823529411
0.05783132530120482,0.7647058823529411
0.05783132530120482,0.7843137254901961
0.05783132530120482,0.7941176470588235
0.060240963855421686,0.7941176470588235
0.06265060240963856,0.803921568627451
0.06506024096385542,0.803921568627451
0.07228915662650602,0.803921568627451
0.0746987951807229,0.803921568627451
0.07710843373493977,0.8235294117647058
0.0819277108433735,0.8235294117647058
0.08433734939759036,0.8333333333333334
0.08674698795180723,0.8333333333333334
0.09156626506024096,0.8333333333333334
0.0963855421686747,0.8333333333333334
0.0963855421686747,0.8431372549019608
0.09879518072289156,0.8431372549019608
0.10361445783132531,0.8431372549019608
0.11325301204819277,0.8431372549019608
0.12771084337349398,0.8431372549019608
0.13493975903614458,0.8431372549019608
0.13975903614457832,0.8431372549019608
0.14216867469879518,0.8431372549019608
0.14457831325301204,0.8529411764705882
0.1493975903614458,0.8529411764705882
0.15421686746987953,0.8627450980392157
0.1566265060240964,0.8627450980392157
0.163855421686747,0.8627450980392157
0.1686746987951807,0.8627450980392157
0.17349397590361446,0.8725490196078431
0.18072289156626506,0.8725490196078431
0.1855421686746988,0.8725490196078431
0.1927710843373494,0.8921568627450981
0.20240963855421687,0.8921568627450981
0.20963855421686747,0.8921568627450981
0.21445783132530122,0.8921568627450981
0.21686746987951808,0.8921568627450981
0.22409638554216868,0.8921568627450981
0.236144578313253,0.8921568627450981
0.2457831325301205,0.9019607843137255
0.25542168674698795,0.9215686274509803
0.26265060240963856,0.9313725490196079
0.27228915662650605,0.9313725490196079
0.27951807228915665,0.9411764705882353
0.2891566265060241,0.9509803921568627
0.30843373493975906,0.9705882352941176
0.3253012048192771,0.9705882352941176
0.3349397590361446,0.9705882352941176
0.36626506024096384,0.9803921568627451
0.39759036144578314,0.9803921568627451
0.4433734939759036,0.9803921568627451
0.5349397590361445,0.9901960784313726
0.636144578313253,1.0
1.0,1.0
