county,reporting_date,crisis,rfq_mean,r3q_mean,r1q_mean,staple_price_kes,staple_price_usd,has_price_data,price_mom_change,prev_crisis,crisis_streak,drought_streak,is_asal,season_long_rains,season_short_rains
Baringo,2011-01-01,0,59.727152499999995,73.17510416666666,47.30593866666667,,,0,,,0,1,1,0,1
Baringo,2011-04-01,0,127.99949866666667,76.67232283333334,108.36461033333335,,,0,,0.0,0,2,1,1,0
Baringo,2011-07-01,1,121.34441250000002,72.99323166666666,100.97676666666666,,,0,,0.0,0,3,1,0,0
Baringo,2011-10-01,1,145.14948166666667,144.93012666666667,168.91095833333335,,,0,,1.0,1,0,1,0,0
Baringo,2012-01-01,0,108.95530016666667,166.99365,195.04033233333334,,,0,,1.0,2,0,1,0,1
Baringo,2012-04-01,1,54.02293266666666,42.616656,61.97625466666667,,,0,,0.0,0,1,1,1,0
Baringo,2012-07-01,0,107.17713816666667,168.61941,118.87656733333334,,,0,,1.0,1,0,1,0,0
Baringo,2012-10-01,0,160.833654,135.92494166666665,160.26948833333333,,,0,,0.0,0,0,1,0,0
Baringo,2013-01-01,0,137.04149966666668,120.51229483333333,85.80878566666667,,,0,,0.0,0,0,1,0,1
Baringo,2013-04-01,0,132.56125216666666,114.29774350000001,87.04493583333334,,,0,,0.0,0,0,1,1,0
Baringo,2013-07-01,0,117.38511666666666,152.68335,105.01059249999999,,,0,,0.0,0,0,1,0,0
Baringo,2013-10-01,0,145.48251083333335,134.19790166666667,140.74849666666668,,,0,,0.0,0,0,1,0,0
Baringo,2014-01-01,0,165.90315766666666,121.76975066666665,145.9558966666667,,,0,,0.0,0,0,1,0,1
Baringo,2014-04-01,0,111.83725566666668,113.47326600000001,108.68542416666666,,,0,,0.0,0,0,1,1,0
Baringo,2014-07-01,0,80.64790866666667,61.64249066666667,79.84586433333332,,,0,,0.0,0,1,1,0,0
Baringo,2014-10-01,0,86.56200933333334,97.44934933333333,121.42947333333335,,,0,,0.0,0,2,1,0,0
